FAR0167, ANÁLISE ORGÂNICA DOS FÁRMACOS
FAR0168, ANÁLISE QUALITATIVA E QUANTITATIVA DOS FÁRMACOS
FAR0169, VIGILÂNCIA SANITÁRIA APLICADA À FARMÁCIA
FAR0171, TECNOLOGIA DE ALIMENTOS
FAR0172, FARMACOLOGIA 1
FAR0173, ASSISTÊNCIA FARMACÊUTICA 2
FAR0174, PATOLOGIA CLÍNICA
FAR0176, FARMACOTÉCNICA
FAR0177, FARMACOLOGIA 2
FAR0179, INTRODUÇÃO À VIROLOGIA HUMANA E ANIMAL
FAR0182, FUNDAMENTOS DE PARASITOLOGIA
FAR0183, URINÁLISE E FLUIDOS CORPORAIS
FAR0248, HEMATOLOGIA CLÍNICA
FAR0249, FARMACOBOTÂNICA
FAR0250, DEONTOLOGIA E LEGISLAÇÃO FARMACÊUTICA
FAR0251, BIOQUÍMICA CLÍNICA
FCS0054, ESTAGIO EM IMUNOLOGIA MOLECULAR
GPP0002, RESIDÊNCIA EM POLÍTICAS PÚBLICAS
GPP0004, TÓPICOS CONTEMPORÂNEOS EM GESTÃO DE POLÍTICAS PÚBLICAS 1
GPP0005, TÓPICOS CONTEMPORÂNEOS EM GESTÃO DE POLÍTICAS PÚBLICAS 2
GPP0006, TÓPICOS CONTEMPORÂNEOS EM GESTÃO DE POLÍTICAS PÚBLICAS 3
GPP0009, METODOLOGIA DE PESQUISA APLICADA À GPP
GPP0011, PROJETO DE PESQUISA EM GPP
GPP0013, TÓPICOS CONTEMPORÂNEOS EM GESTÃO DE POLÍTICAS PÚBLICAS 5
GPP0015, AVALIAÇÃO DE PROGRAMAS GOVERNAMENTAIS
GPP0018, DEMOCRACIA E POLÍTICAS PÚBLICAS
GPP0020, IMPLEMENTAÇÃO DE POLÍTICAS PÚBLICAS
GPP0021, INTRODUÇÃO À GESTÃO DE POLÍTICAS PÚBLICAS
GPP0023, PARTICIPAÇÃO SOCIAL E POLÍTICAS PÚBLICAS
GPP0025, POLÍTICAS PÚBLICAS DE EMPREGO TRABALHO E RENDA
GPP0027, POLÍTICAS URBANAS
GPP0028, PROCESSO DECISÓRIO E POLÍTICAS PÚBLICAS
GPP0030, TRABALHO DE CONCLUSÃO DE CURSO
GPP0031, ECONOMIA PARA POLÍTICAS PÚBLICAS
GPP0035, ADMINISTRACAO PUBLICA COMPARADA
GPP0037, FUNDAMENTOS DA ADMINISTRAÇÃO PÚBLICA
GPP0039, ECONOMIA PARA POLÍTICAS PÚBLICAS 2
GPP0042, POLÍTICA FISCAL E SOCIEDADE
GPP0088, CORPO E POLÍTICAS PÚBLICAS: EPISTEMOLOGIAS, PRÁTICAS DE PESQUISA E EXTENSÃO
JOR0001, COMUNICAÇÃO, INFORMAÇÃO E COMPUTAÇÃO : FUNDAMENTOS E APLICAÇÃO
JOR0002, HISTÓRIA DO JORNALISMO
JOR0003, PROCESSOS GRÁFICOS EM JORNALISMO
JOR0004, ÉTICA E JORNALISMO
JOR0006, JORNALISMO EM RÁDIO 1
JOR0007, WEBDESIGN EM JORNALISMO
JOR0009, WEBJORNALISMO
JOR0010, CAMPUS MULTIMÍDIA
JOR0012, EMPREENDEDORISMO E GESTÃO EM COMUNICAÇÃO
JOR0014, JORNALISMO EM RÁDIO 2
JOR0015, JORNALISMO EM TV 1
JOR0016, JORNALISMO EM TV 2
JOR0017, JORNALISMO ESPORTIVO
JOR0018, JORNALISMO INTERNACIONAL
JOR0023, TEORIAS DO JORNALISMO
JOR0024, ASSESSORIA DE COMUNICAÇÃO 1
JOR0025, ASSESSORIA DE COMUNICAÇÃO 2
JOR0027, JORNAL CAMPUS
JOR0039, FOTOJORNALISMO
JOR0045, TEORIAS DA COMUNICAÇÃO 1
JOR0058, OFICINA DE TEXTO 1
JOR0062, ÉTICA NA COMUNICAÇÃO
JOR0063, MÉTODOS E TÉCNICAS EM PESQUISA EM COMUNICAÇÃO
JOR0064, ESTÉTICA DA COMUNICAÇÃO
JOR0065, POLITICAS DE COMUNICAÇÃO
JOR0078, INTRODUÇÃO A COMUNICAÇÃO
JOR0079, COMUNICAÇÃO E UNIVERSIDADE
JOR0080, INTRODUÇÃO AO JORNALISMO
JOR0083, COMUNICAÇÃO COMUNITÁRIA
